KDTree,Dim,N,K,Time
KDTree,7,40000,300,8225
KDTree,7,40000,400,9332
KDTree,7,40000,500,10278
KDTree,7,40000,600,11183
KDTree,7,40000,700,11994
KDTree,7,40000,800,12769
KDTree,7,40000,900,13682
KDTree,7,40000,1000,14116
KDTree,7,50000,100,5935
KDTree,7,50000,200,7939
KDTree,7,50000,300,9511
KDTree,7,50000,400,10829
KDTree,7,50000,500,11889
KDTree,7,50000,600,12968
KDTree,7,50000,700,13967
KDTree,7,50000,800,14865
KDTree,7,50000,900,15619
KDTree,7,50000,1000,16470
KDTree,7,60000,100,5736
KDTree,7,60000,200,7677
KDTree,7,60000,300,9279
KDTree,7,60000,400,10666
KDTree,7,60000,500,11788
KDTree,7,60000,600,12891
KDTree,7,60000,700,13857
KDTree,7,60000,800,15104
KDTree,7,60000,900,15766
KDTree,7,60000,1000,16440
KDTree,7,70000,100,6634
KDTree,7,70000,200,8977
KDTree,7,70000,300,10743
KDTree,7,70000,400,12319
KDTree,7,70000,500,14103
KDTree,7,70000,600,15066
KDTree,7,70000,700,16413
KDTree,7,70000,800,17650
KDTree,7,70000,900,18179
KDTree,7,70000,1000,18950
